type,item,overall_mae,overall_r2,mae,r2
overall,all,5316.727557217465,0.8547370674053981,,
hourly,1,,,5366.660977436521,0.8612060564050685
hourly,2,,,5366.413483363956,0.8612061352251061
hourly,3,,,5365.726925686187,0.8612065795908557
hourly,4,,,5365.57883994421,0.8612066136262417
hourly,5,,,5364.948221896936,0.861207084981221
hourly,6,,,5363.079958865866,0.8612698969141678
hourly,7,,,5361.815360722488,0.8613532608309535
hourly,8,,,5371.116059366648,0.8609482166947449
hourly,9,,,5392.834970174585,0.8595029105878371
hourly,10,,,5347.2681937726875,0.8590681357183663
hourly,11,,,5352.060851623021,0.8562083408181725
hourly,12,,,5356.5977376822275,0.8532873600576025
hourly,13,,,5333.19526897415,0.8519916591480077
hourly,14,,,5280.601658272392,0.8511956808629026
hourly,15,,,5265.562693145686,0.8499100325400318
hourly,16,,,5279.054948863811,0.8488771486141821
hourly,17,,,5261.754853880892,0.8492304932572781
hourly,18,,,5256.660683042282,0.8492456088387803
hourly,19,,,5258.586511777761,0.8492611790581838
hourly,20,,,5258.666594348331,0.8492610280010657
hourly,21,,,5258.329003478975,0.8492615485511972
hourly,22,,,5258.3421931034145,0.849261544435981
hourly,23,,,5258.3435000037525,0.8492615441484714
hourly,24,,,5258.261883792383,0.849261558823136
sample,1,,,5524.292424295018,0.9093151110762002
sample,2,,,5520.846556361066,0.9093157783895939
sample,3,,,5512.3257815926745,0.9093193496699614
sample,4,,,5514.434487321152,0.9093188415117013
sample,5,,,5525.6941931815845,0.9093082431514617
sample,6,,,5460.394850905333,0.9096265395192705
sample,7,,,5325.54612358223,0.9106547122753242
sample,8,,,5306.520842634815,0.9107661214383367
sample,9,,,5427.350963739266,0.9096963591666631
sample,10,,,4875.514744960003,0.922303095432877
sample,11,,,4819.158432930366,0.9248669592580128
sample,12,,,4470.048517088916,0.9417577418988546
sample,13,,,4709.205109708637,0.9370197782534441
sample,14,,,4769.716614056943,0.9361350097043146
sample,15,,,4822.263891655716,0.9354001412614823
sample,16,,,5008.923503611805,0.9343932196994942
sample,17,,,4942.534462716041,0.9353870727025485
sample,18,,,4931.976721123562,0.9352799009775585
sample,19,,,5068.459477480838,0.9352378774566776
sample,20,,,5070.1108018494715,0.9352363349247839
sample,21,,,5063.553046868842,0.9352410194517918
sample,22,,,5072.736982806381,0.9352378204231553
sample,23,,,5072.441075590881,0.9352378502407974
sample,24,,,5078.105328665381,0.9352365135640075
sample,25,,,5077.390808796776,0.9352366056801001
sample,26,,,5075.981700603387,0.9352367012788807
sample,27,,,5082.093852453914,0.9352347272045051
sample,28,,,5076.203776353146,0.935235513980532
sample,29,,,5060.564122097449,0.9352472080113343
sample,30,,,5049.985715867001,0.9352502478792974
sample,31,,,5191.156328786088,0.9343142123348467
sample,32,,,5101.800097361455,0.9344563881357634
sample,33,,,5151.723479067029,0.9324125070053869
sample,34,,,5179.586539350877,0.9291060046103152
sample,35,,,4753.424845038861,0.9294188737685548
sample,36,,,4847.282609894976,0.9075997110068355
sample,37,,,4835.034323372277,0.8813474307362665
sample,38,,,4438.398382691222,0.8765126436167521
sample,39,,,4423.442142049614,0.8511018130127324
sample,40,,,4725.973593192947,0.8124682667118636
sample,41,,,4570.108669259117,0.8161917715696608
sample,42,,,4691.461874546999,0.8174590881575523
sample,43,,,4706.6601648254755,0.817797898352509
sample,44,,,4711.745431632138,0.8177796253535674
sample,45,,,4713.158598282371,0.8177767943553964
sample,46,,,4702.5014876148525,0.8177880026969644
sample,47,,,4700.691599360976,0.8177883335077213
sample,48,,,4695.392149753421,0.8177926317828286
sample,49,,,4692.818677956385,0.8177931230567379
sample,50,,,4692.970747979253,0.8177931025752482
sample,51,,,4684.489673202256,0.8178007579223848
sample,52,,,4687.700941243911,0.8177999536976005
sample,53,,,4685.114153417162,0.8178029755258945
sample,54,,,4733.376799059503,0.8194361516683513
sample,55,,,4583.946568991231,0.8264236932148296
sample,56,,,4704.018428869769,0.8217416127549639
sample,57,,,4439.181406388249,0.811676517800245
sample,58,,,4406.173448642258,0.7495676099222803
sample,59,,,4380.509670250999,0.690980487141065
sample,60,,,3664.902519768328,0.7720788351100595
sample,61,,,3148.2121572455,0.8134305660356925
sample,62,,,3148.3402576112253,0.5957639591574089
sample,63,,,3237.445583896264,0.08832242994790473
sample,64,,,2916.601774463305,0.24566316060155025
sample,65,,,3103.5909090401124,0.12227938519335357
sample,66,,,3056.6100422206423,0.13692602865297465
sample,67,,,2969.34406941326,0.1556524328325698
sample,68,,,2964.0600356687046,0.15590745288533403
sample,69,,,2954.505245656712,0.1560897071777213
sample,70,,,2967.943449190376,0.1558626712487695
sample,71,,,2997.7881754075556,0.15497313604693141
sample,72,,,3025.033782232132,0.15409200766161024
sample,73,,,3055.2041633033546,0.15320234801558696
sample,74,,,3089.0603176263207,0.15201798022925395
sample,75,,,3123.318871987991,0.15073974779967259
sample,76,,,3145.8002779286307,0.1501005192380399
sample,77,,,3180.721164457398,0.14844923566633783
sample,78,,,3255.845137197329,0.13568055798347178
sample,79,,,3404.6140363382183,0.07939454269094592
sample,80,,,3817.596882632197,-0.1965749548179787
sample,81,,,4373.614711073783,-0.5838952528517058
sample,82,,,4615.79263515856,-0.7213347271193018
sample,83,,,4411.470996917914,-0.247966732739219
sample,84,,,4515.509075996221,-0.12668137365965815
