type,item,overall_mae,overall_r2,mae,r2
sample,76,,,2483.702854698801,0.435606818283362
sample,77,,,2524.2307680138365,0.4339788955783235
sample,78,,,2600.4379604572146,0.4250296910249466
sample,79,,,2652.954237303838,0.4033616849608085
sample,80,,,3061.0931807151023,0.050734851979896245
sample,81,,,3605.896986409356,-0.31672330479826805
sample,82,,,3772.8110727430862,-0.371749142373512
sample,83,,,3667.2665002820304,0.0014227965769990636
sample,84,,,3716.775698227985,0.1152524584330249
sample,85,,,4047.1489646589494,0.4679155979382489
sample,86,,,3806.9293500470685,0.5517204011294439
sample,87,,,4109.966849711332,0.6468762131853152
sample,88,,,4200.684036904812,0.6510721608503134
sample,89,,,5091.553323347388,0.4076848443282931
sample,90,,,5591.1859575849585,0.3265263755019622
sample,91,,,5700.715481741012,0.3234285588631156
sample,92,,,5689.602383956267,0.32346891536370026
sample,93,,,5682.737939954044,0.3234951374316497
sample,94,,,5678.685075040594,0.3235030841817017
sample,95,,,5663.729039461628,0.3235632452365277
sample,96,,,5641.034972654998,0.3236834705355496
sample,97,,,5631.327131230541,0.32373221707436384
sample,98,,,5608.173930602323,0.3238495188159006
sample,99,,,5593.835043684278,0.3238928722182902
sample,100,,,5587.84921386389,0.32392339913322854
sample,101,,,5557.0926782455235,0.32422169130878586
sample,102,,,5473.521963122014,0.3203683386392684
sample,103,,,5481.987797039045,0.3215398580023895
sample,104,,,5036.293401897713,0.44028630064696406
sample,105,,,4666.601845892533,0.6326528613735349
sample,106,,,5039.14034856062,0.7359638676877772
sample,107,,,5723.137113832968,0.8119721877255498
sample,108,,,6504.419781229853,0.841924848249349
sample,109,,,7185.713278896743,0.838656688961218
sample,110,,,8270.335954452976,0.8233481626070108
sample,111,,,8089.84479301679,0.8380382922437482
sample,112,,,8069.716363092094,0.8403940621209285
sample,113,,,7077.434349349416,0.8673201343129479
sample,114,,,6389.472597722336,0.8759526785416816
sample,115,,,6351.300231371183,0.875403028132135
sample,116,,,6388.581713241045,0.8753645469390341
sample,117,,,6400.745297553163,0.8753575075078734
sample,118,,,6411.221133501975,0.875353510697809
sample,119,,,6423.2105883761915,0.8753485415887657
sample,120,,,6438.708402102983,0.8753412451229908
sample,121,,,6432.837010912338,0.8753426922205224
sample,122,,,6441.889887474994,0.8753401067958307
sample,123,,,6454.487367396832,0.8753360420674143
sample,124,,,6449.01429304927,0.875337956900562
sample,125,,,6443.207530425415,0.8753398637557165
sample,126,,,6459.16642455057,0.8753233222478148
sample,127,,,6347.795298217672,0.8755534481575883
sample,128,,,6165.339129932333,0.8767165111226153
sample,129,,,6035.057334945969,0.8794500824527157
sample,130,,,5619.708913002768,0.8900523525614242
sample,131,,,5458.007381221606,0.8945519631322718
sample,132,,,5130.043295294165,0.9027878102492951
sample,133,,,4038.1805734026148,0.9362772945649472
sample,134,,,3101.901671242012,0.968244116400077
sample,135,,,2761.8715856098893,0.9719663232201499
sample,136,,,3335.26955851482,0.959675941441679
sample,137,,,3466.000992946201,0.9577634587017272
sample,138,,,3645.474438498894,0.9569278499401721
sample,139,,,3593.313626665693,0.9571148820962436
sample,140,,,3581.151463047643,0.9571385548260691
sample,141,,,3578.971769746812,0.9571406863962459
sample,142,,,3578.200573590269,0.9571412501951224
sample,143,,,3573.45335017144,0.9571445869710595
sample,144,,,3565.7168092768534,0.9571506646109236
sample,145,,,3565.3580284485856,0.9571507100085792
sample,146,,,3556.341069009397,0.957153841592905
sample,147,,,3545.2582918996486,0.9571586421492679
sample,148,,,3541.191603674253,0.9571592943175363
sample,149,,,3538.666457965979,0.9571597178675446
sample,150,,,3589.3440249281994,0.9568243051531822
sample,151,,,3604.333460956154,0.9567440684807438
sample,152,,,3713.763186310072,0.9565250538467066
sample,153,,,3749.835121737582,0.9559880862051947
sample,154,,,3779.8181294100887,0.9554299516902145
sample,155,,,3726.2277622124116,0.9569567397735345
sample,156,,,3747.8543237503604,0.9581871722154379
sample,157,,,3906.1148677446085,0.9590234005369584
sample,158,,,4778.001771873617,0.9339204165965052
sample,159,,,5772.035525888066,0.9100377558153628
sample,160,,,5579.473830768828,0.9165890199391122
sample,161,,,5509.689505256613,0.9173817661795125
sample,162,,,5468.993172995089,0.9173702614289034
sample,163,,,5504.4207031836895,0.9171283637957013
sample,164,,,5488.644313280354,0.9171429584716942
sample,165,,,5491.396343787223,0.9171408027787447
sample,166,,,5492.10980715161,0.9171403925401946
sample,167,,,5485.232764662756,0.9171424597724271
sample,168,,,5484.258782769112,0.9171428779056583
sample,169,,,5483.342297065446,0.9171429438313916
sample,170,,,5484.705637084394,0.9171427981148481
sample,171,,,5483.971551224757,0.9171428596204304
sample,172,,,5484.141359962134,0.9171428525827877
sample,173,,,5492.365340337495,0.9171407434286724
sample,174,,,5448.717935600788,0.9174087089807175
sample,175,,,5613.2584446445035,0.9162424285003223
sample,176,,,5540.720617227671,0.9162751999386434
sample,177,,,5616.595991984142,0.9160886572175522
sample,178,,,6184.42009329734,0.9042522857146275
sample,179,,,5905.5708890086,0.9086089813427244
sample,180,,,5317.588968753976,0.9130827845123859
sample,181,,,5457.930216472297,0.9102535193842938
sample,182,,,4835.341250938702,0.9340075049182047
sample,183,,,4367.719196439649,0.9520039471778069
sample,184,,,4527.441377937167,0.9484785269950416
sample,185,,,4410.781259156886,0.9494229130085474
sample,186,,,4527.559959561787,0.948502208804931
sample,187,,,4477.701194736192,0.9487131496441794
sample,188,,,4493.088235365866,0.9486983012507383
sample,189,,,4475.064930200304,0.9487068465550842
sample,190,,,4472.010164039596,0.9487085315862317
sample,191,,,4475.008673225414,0.9487078496054729
sample,192,,,4472.104121816024,0.9487089037772337
sample,193,,,4477.975375784608,0.9487077914011184
sample,194,,,4474.850074143395,0.9487080166740324
sample,195,,,4474.428369705823,0.9487080426840616
sample,196,,,4474.767625927114,0.9487080239173163
sample,197,,,4464.781683929489,0.9487103162747924
sample,198,,,4517.357965342897,0.9488718645923313
sample,199,,,4926.479127639194,0.940890147284149
sample,200,,,5997.831856230085,0.913693901508127
sample,201,,,6985.695420703242,0.8811776525704733
sample,202,,,7221.557868521159,0.8584175954343798
sample,203,,,7111.710942176237,0.8360370073753935
sample,204,,,7330.687815334131,0.7979469283405506
sample,205,,,7050.9539801795545,0.7141361162974342
sample,206,,,7348.994384326256,0.49599621321068377
sample,207,,,8116.635483728679,-0.09880868774003893
sample,208,,,8455.394664903242,-1.9389362470238893
sample,209,,,8661.623889893875,-3.782985563664634
sample,210,,,8458.979284435905,-3.8737267297723923
sample,211,,,8481.270661466786,-3.852270310309775
sample,212,,,8462.047622421422,-3.8518256509101194
sample,213,,,8465.319160186264,-3.8518373452328953
sample,214,,,8464.186907108231,-3.851823741275002
sample,215,,,8466.833636166046,-3.851848666332848
sample,216,,,8469.48036522386,-3.851873591390695
sample,217,,,8477.9860334917,-3.8519901383030177
sample,218,,,8504.8843668954,-3.85242844841418
sample,219,,,8514.825955294406,-3.8525019255910484
sample,220,,,8523.174304300735,-3.852558019688768
sample,221,,,8531.197736839238,-3.8525970693720852
sample,222,,,8487.068938991053,-3.848950480250454
sample,223,,,8265.110380308659,-3.596817445641806
sample,224,,,7937.7490964608805,-3.1718359781293737
sample,225,,,7465.026408204023,-2.816515138781118
sample,226,,,7409.223483414314,-2.9460116432899723
sample,227,,,8309.482611804293,-7.01710678919531
sample,228,,,8807.167283450599,-9.24908711870504
sample,229,,,9181.987626134976,-14.409720550176736
sample,230,,,8421.203567570166,-6.811448559922264
sample,231,,,7593.885040177429,-5.255465024075381
sample,232,,,6683.647084154448,-3.502638431177904
sample,233,,,6415.393930058999,-3.1457646986599475
sample,234,,,6419.169546867939,-3.137647451050028
sample,235,,,6373.372359576908,-3.1073080015243226
sample,236,,,6388.66498353998,-3.1077572941469063
sample,237,,,6388.684584610324,-3.1077574486402897
sample,238,,,6391.839971136705,-3.1078165948726726
sample,239,,,6387.033889618651,-3.1077614129849067
sample,240,,,6381.9928061612045,-3.1077045483697683
sample,241,,,6377.2192358978,-3.1075966738469223
